"","shape.trait1","resid.trait1","trait1","shape.trait2","resid.trait2","trait2","shape.trait3","resid.trait3","trait3","shape.trait4","resid.trait4","trait4","shape.trait5","resid.trait5","trait5","shape.trait6","resid.trait6","trait6"
"manyfaces01_vid03_clip04_face16_2secs",-1.10348345245735,-0.519931009555725,-1.60154076079901,-0.184344467008944,-0.0213886319381839,-0.196799483385495,0.994046891915167,0.3587500500671,1.37391127789997,-0.092030872570646,1.2604461611776,1.10898342476228,0.747276506689177,-0.103923996117804,0.0218496685137654,0.429448626201368,-0.291273445309855,0.128901235452027
"manyfaces01_vid03_clip05_face17_2secs",0.290550802989273,0.955286089784557,1.24498182515196,0.585721274214804,1.10382959334018,1.66630554114069,0.429631562048726,-0.263309376401329,0.178637432169948,-0.214113654206015,1.06262928338548,0.71227204500977,0.599172386097901,-0.965066714322419,-0.864449256810264,-0.378439706162332,-0.0758486274837539,-0.462043483672333
"manyfaces01_vid05_clip01_face01_2secs",-0.360679759907548,-0.339800744741214,-0.690717706271174,-0.175542340645901,-1.03568515083516,-1.20266169271524,0.943858415907474,0.110050334677441,1.07424066110836,0.002601362945164,0.269464031518015,0.27217398923847,0.0426080915140248,-0.601732272626883,-0.595649974662799,0.209234612540432,-0.559789178760506,-0.359414518759204
"manyfaces01_vid05_clip01_face02_2secs",-0.0148027869568193,0.46715505125272,0.456475776742632,-0.00464098817308273,0.0503893668314466,0.0471726771464418,-0.624228078436323,-0.0859021784064331,-0.714244410260086,0.0244245510582347,0.906177950982128,0.944441752355172,-0.840463295954378,1.90952313883981,1.76561145530158,-0.177922456755913,-0.983854436770548,-1.16990900738109
"manyfaces01_vid05_clip03_face03_2secs",0.736732996821954,0.291548382980627,1.0201516186768,0.0946450164570888,-1.39794020260823,-1.3060197783499,-0.436258098509202,0.28961337342142,-0.147828475007079,-0.00592953444019163,-0.128873599455595,-0.140061986481274,-0.134440763673086,0.482995739140775,0.459005425663928,-0.297880111695923,0.111629644228832,-0.194157066075606
"manyfaces01_vid05_clip12_face04_2secs",-0.308115458928365,0.834109546865416,0.53489986157417,-0.205359598138548,-0.625849424392356,-0.821397242094463,-0.463354651291241,0.373919472650309,-0.091041356828231,-0.0342814211762699,2.11104319905616,2.05366456049402,-0.522078819654141,-0.130757934220161,-0.220590461841326,-0.874143045806935,-0.547094620395809,-1.42806091521196
"Marc_Bulger_vid01_clip03_2secs",0.315579152770685,0.0182483407790883,0.332564355915063,-0.0103240346251963,-0.900453206837197,-0.909115464000457,-0.673886497283875,0.349307533392132,-0.329467279248943,-0.0581242652519178,0.410881069675312,0.314658209723214,0.524770320041558,2.25474860446902,2.34272850823619,-0.420734639046947,0.131584705624337,-0.296825570789129
"Margaret_Cho_vid02_clip14_2secs",0.000724503663724063,-0.476118474922549,-0.471523620596163,0.0801244949925848,-0.00759970983225883,0.0704069658546495,0.374763714297096,-0.534360642829088,-0.148137057602093,-0.0153527887919226,1.26119411478644,1.23465357526205,-1.03956695392607,-1.01979495997297,-1.19752537075641,0.0729644700174606,-0.227269549110364,-0.162908849608932
"Marg_Helgenberger_vid06_clip06_2secs",-0.487930880911508,0.191599585057565,-0.284493755552251,0.0119418537071425,0.138329290400866,0.151002490971188,-0.332973532675689,-0.290265038245399,-0.622812141102488,0.194535456908827,1.55347397941381,1.86887861460433,0.347312574693128,-0.131352068554827,-0.0735142282164598,1.03631596368582,-0.133259483325718,0.892641650355641
"Maria_Bello_vid01_clip06_2secs",0.377199910733779,-0.489017345072745,-0.114085256010505,-0.031147748808306,1.32283092272787,1.29421511746545,-0.277298556830921,-0.0263394362147155,-0.302343604715621,0.115592927486013,1.79709572153563,1.98388897629464,0.87153862021763,0.59121629563534,0.73809648621999,0.356980712797875,0.278881852217574,0.626724856144898
